ID,Part Number,Manufacture,Library Ref,Footprint Ref,Library Path,Footprint Path,Value,Tolerance,Size,TKE,OperatTempRange,Voltage,HelpURL,ComponentLink1Description
GRM188R61C106KAALD,GRM188R61C106KAALD,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,10 мкФ,±10%,@0603,X5R,-55 to +85°C,16 V,\Datasheet\Murata.pdf,Datasheet
GRM1885C1H220JA01D,GRM1885C1H220JA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,22 пФ,±5%,@0603,C0G (NP0),-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71H104KA93D,GRM188R71H104KA93D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"0,1 мкФ",±10%,@0603,X7R,-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM188R61C225KE15D,GRM188R61C225KE15D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"2,2 мкФ",±10%,@0603,X5R,-55 to +85°C,16 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71C474KA88D,GRM188R71C474KA88D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,470 нФ,±10%,@0603,X7R,-55 to +125°C,16 V,\Datasheet\Murata.pdf,Datasheet
GRM1885C1H100JA01D,GRM1885C1H100JA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,10 пФ,±5%,@0603,C0G (NP0),-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71C104KA01D,GRM188R71C104KA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"0,1 мкФ",±10%,@0603,X7R,-55 to +125°C,16 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71E104KA01D,GRM188R71E104KA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,1 мкФ,±10%,@0603,X7R,-55 to +125°C,25 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71E103KA01D,GRM188R71E103KA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"0,01 мкФ",±10%,@0603,X7R,-55 to +125°C,25 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71E472KA01D,GRM188R71E472KA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,4700 пФ,±10%,@0603,X7R,-55 to +125°C,25 V,\Datasheet\Murata.pdf,Datasheet
GRM188R61H225KE11D,GRM188R61H225KE11D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"2,2 мкФ",±10%,@0603,X5R,-55 to +85°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM1885C1H101JA01D,GRM1885C1H101JA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,100 пФ,±5%,@0603,C0G (NP0),-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71A225KE15D,GRM188R71A225KE15D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"2,2 мкФ",±10%,@0603,X7R,-55 to +125°C,10 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71H473KA61D,GRM188R71H473KA61D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,47 нФ,±10%,@0603,X7R,-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71E224KA88D,GRM188R71E224KA88D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,220 нФ,±10%,@0603,X7R,-55 to +125°C,25 V,\Datasheet\Murata.pdf,Datasheet
GRM188R71H472KA01D,GRM188R71H472KA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,"4,7 нФ",±10%,@0603,X7R,-55 to +125°C,50 V,\Datasheet\Murata.pdf,Datasheet
GRM1885C2A102JA01D,GRM1885C2A102JA01D,Murata,Capacitor,CAPACITOR_0603,\SCH\Capacitor.SchLib,\PCB\Capacitor.PcbLib,1 нФ,±5%,@0603,C0G (NP0),-55 to +125°C,100 V,\Datasheet\Murata.pdf,Datasheet
