ID,Part Number,Manufacture,Library Ref,Footprint Ref,Library Path,Footprint Path,Value,Tolerance,Size,Power,ComponentLink1URL,ComponentLink1Description
RC0805JR-07680RL,RC0805JR-07680RL,Yageo,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,"5,1 êÎì",±5%,805,0.125,,Datasheet
"Ð1-12-0,125-1,27 êÎì±1%-Ì","Ð1-12-0,125-1,27 êÎì±1%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±1%,805,0.125,,Datasheet
"Ð1-12-0,125-100 Îì±5%-Ì","Ð1-12-0,125-100 Îì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-47 Îì±5%-Ì","Ð1-12-0,125-47 Îì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-82 Îì±5%-Ì","Ð1-12-0,125-82 Îì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-30 êÎì±5%-Ì","Ð1-12-0,125-30 êÎì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-100 êÎì±5%-Ì","Ð1-12-0,125-100 êÎì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-620 êÎì±5%-Ì","Ð1-12-0,125-620 êÎì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-120 êÎì±5%-Ì","Ð1-12-0,125-120 êÎì±5%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-3,32 Îì±2%-Ì","Ð1-12-0,125-3,32 Îì±2%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±5%,805,0.125,,Datasheet
"Ð1-12-0,125-3,57 Îì±2%-Ì","Ð1-12-0,125-3,57 Îì±2%-Ì",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±1%,805,0.125,,Datasheet
"Ð1-12-0,125-301 Îì±1%-Ë","Ð1-12-0,125-301 Îì±1%-Ë",,Resistor,RESISTOR_0805,\SCH\Resistor.SchLib,\PCB\Resistor.PcbLib,3 êÎì,±1%,805,0.125,,Datasheet
